title,description,thumbnail,author,publisher,publishing_year,num_pages,language,categories,link
Combo Let's Go Level 2: Student Book + Workbook with Online Practice - 5th Edition (Bộ 2 Cuốn),"Combo Sách Let's Go Level 2: Student Book + Workbook with Online Practice - 5th Edition (Bộ 2 Cuốn)


1. Let's Go: Level 2: Student's Book 5th Edition


Inspire students to enjoy learning in English with a trusted methodology and easy-to-use teaching tools. Let's Go 5th Edition provides lively and motivating activities and offers plenty of opportunities for students to practice using the language they are learning.


Student Book presents new language and vocabulary through fun and collaborative activities, reading texts and listening practice.


2. Let's Go: Level 2: Workbook With Online Practice - 5th Edition


Inspire students to enjoy learning in English with a trusted methodology and easy-to-use teaching tools. Let's Go 5th Edition provides lively and motivating activities and offers plenty of opportunities for students to practice using the language they are learning. Workbook activities allow students to put what they have learned into practice. Online Practice motivates students to connect with English outside the classroom through interactive tasks and activities.
1. Let's Go: Level 2: Student's Book 5th Edition
2. Let's Go: Level 2: Workbook With Online Practice - 5th Edition",https://cdn1.fahasa.com/media/catalog/product/c/o/combo-9780194049399-9780194049368.jpg,"Ritsuko Nakata, Karen Frazier, Barbara Hoskins",Oxford University Press,2018,,Tiếng Anh,ELT: Learning Material & Coursework,https://www.fahasa.com/combo-let-s-go-level-2-student-book-workbook-with-online-practice-5th-edition-bo-2-cuon.html
Combo Let's Go Level 4: Student Book + Workbook with Online Practice - 5th Edition (Bộ 2 Cuốn),"Combo Sách Let's Go Level 4: Student Book + Workbook with Online Practice - 5th Edition (Bộ 2 Cuốn)


1. Let's Go: Level 4: Student Book - 5th Edition


Inspire students to enjoy learning in English with a trusted methodology and easy-to-use teaching tools. Let's Go 5th Edition provides lively and motivating activities and offers plenty of opportunities for students to practice using the language they are learning. Student Book presents new language and vocabulary through fun and collaborative activities, reading texts and listening practice.


2. Let's Go: Level 4: Workbook 5th Edition With Online Practice


Inspire students to enjoy learning in English with a trusted methodology and easy-to-use teaching tools. Let's Go 5th Edition provides lively and motivating activities and offers plenty of opportunities for students to practice using the language they are learning. Workbook activities allow students to put what they have learned into practice. Online Practice motivates students to connect with English outside the classroom through interactive tasks and activities.
1. Let's Go: Level 4: Student Book - 5th Edition
2. Let's Go: Level 4: Workbook 5th Edition With Online Practice",https://cdn1.fahasa.com/media/catalog/product/c/o/combo-9780194049603-9780194049634.jpg,"Ritsuko Nakata, Karen Frazier, Barbara Hoskins",Oxford University Press,2018,,Tiếng Anh,ELT: Learning Material & Coursework,https://www.fahasa.com/combo-let-s-go-level-4-student-book-workbook-with-online-practice-5th-edition-bo-2-cuon.html
Combo Let's Go Level 6: Student Book + Workbook with Online Practice - 5th Edition (Bộ 2 Cuốn),"Combo Sách Let's Go Level 6: Student Book + Workbook with Online Practice - 5th Edition (Bộ 2 Cuốn)


1. Let's Go: Level 6: Student Book - 5th Edition


Inspire students to enjoy learning in English with a trusted methodology and easy-to-use teaching tools. Let's Go 5th Edition provides lively and motivating activities and offers plenty of opportunities for students to practice using the language they are learning. Student Book presents new language and vocabulary through fun and collaborative activities, reading texts and listening practice.


2. Let's Go: Level 6: Workbook With Online Practice - 5th Edition


Inspire students to enjoy learning in English with a trusted methodology and easy-to-use teaching tools. Let's Go 5th Edition provides lively and motivating activities and offers plenty of opportunities for students to practice using the language they are learning. Workbook activities allow students to put what they have learned into practice. Online Practice motivates students to connect with English outside the classroom through interactive tasks and activities.


1. Let's Go: Level 6: Student Book - 5th Edition


2. Let's Go: Level 6: Workbook With Online Practice - 5th Edition",https://cdn1.fahasa.com/media/catalog/product/c/o/combo-9780194049870-9780194049849.jpg,"Ritsuko Nakata, Karen Frazier, Barbara Hoskins",Oxford University Press,2018,,Tiếng Anh,ELT: Learning Material & Coursework,https://www.fahasa.com/combo-let-s-go-level-6-student-book-workbook-with-online-practice-5th-edition-bo-2-cuon.html
Combo Let's Go Level 3: Student Book + Workbook with Online Practice - 5th Edition (Bộ 2 Cuốn),"Combo Sách Let's Go Level 3: Student Book + Workbook with Online Practice - 5th Edition (Bộ 2 Cuốn)


1. Let's Go: Level 3: Student Book - 5th Edition


Inspire students to enjoy learning in English with a trusted methodology and easy-to-use teaching tools. Let's Go 5th Edition provides lively and motivating activities and offers plenty of opportunities for students to practice using the language they are learning. Student Book presents new language and vocabulary through fun and collaborative activities, reading texts and listening practice.


2. Let's Go: Level 3: Workbook With Online Practice - 5th Edition


Inspire students to enjoy learning in English with a trusted methodology and easy-to-use teaching tools. Let's Go 5th Edition provides lively and motivating activities and offers plenty of opportunities for students to practice using the language they are learning. Workbook activities allow students to put what they have learned into practice. Online Practice motivates students to connect with English outside the classroom through interactive tasks and activities.
1. Let's Go: Level 3: Student Book - 5th Edition
2. Let's Go: Level 3: Workbook With Online Practice - 5th Edition",https://cdn1.fahasa.com/media/catalog/product/c/o/combo-9780194049481-9780194049511.jpg,"Ritsuko Nakata, Karen Frazier, Barbara Hoskins, Carolyn Graham",Oxford University Press,2018,,Tiếng Anh,ELT: Learning Material & Coursework,https://www.fahasa.com/combo-let-s-go-level-3-student-book-workbook-with-online-practice-5th-edition-bo-2-cuon.html
Combo Let's Go Level 1: Student Book + Workbook with Online Practice - 5th Edition (Bộ 2 Cuốn),"Combo Sách Let's Go Level 1: Student Book + Workbook with Online Practice - 5th Edition (Bộ 2 Cuốn)


1. Let's Go: Level 1: Student's Book 5th Edition


Inspire students to enjoy learning in English with a trusted methodology and easy-to-use teaching tools. Let's Go 5th Edition provides lively and motivating activities and offers plenty of opportunities for students to practice using the language they are learning.


Student Book presents new language and vocabulary through fun and collaborative activities, reading texts and listening practice.


2. Let's Go: Level 1: Workbook With Online Practice - 5th Edition


Inspire students to enjoy learning in English with a trusted methodology and easy-to-use teaching tools. Let's Go 5th Edition provides lively and motivating activities and offers plenty of opportunities for students to practice using the language they are learning. Workbook activities allow students to put what they have learned into practice. Online Practice motivates students to connect with English outside the classroom through interactive tasks and activities.
1. Let's Go: Level 1: Student's Book 5th Edition
2. Let's Go: Level 1: Workbook With Online Practice - 5th Edition",https://cdn1.fahasa.com/media/catalog/product/c/o/combo-9780194049276-9780194049245.jpg,"Ritsuko Nakata, Karen Frazier, Barbara Hoskins",Oxford University Press,2018,,Tiếng Anh,ELT: Learning Material & Coursework,https://www.fahasa.com/combo-let-s-go-level-1-student-book-workbook-with-online-practice-5th-edition-bo-2-cuon.html
Combo Let's Go Level 5: Student Book + Workbook with Online Practice - 5th Edition (Bộ 2 Cuốn),"Combo Sách Let's Go Level 5: Student Book + Workbook with Online Practice - 5th Edition (Bộ 2 Cuốn)


1. Let's Go: Level 5: Student Book - 5th Edition


Inspire students to enjoy learning in English with a trusted methodology and easy-to-use teaching tools. Let's Go 5th Edition provides lively and motivating activities and offers plenty of opportunities for students to practice using the language they are learning. Workbook activities allow students to put what they have learned into practice. Online Practice motivates students to connect with English outside the classroom through interactive tasks and activities.


2. Let's Go: Level 5: Workbook with Online Practice - 5th Edition


Inspire students to enjoy learning in English with a trusted methodology and easy-to-use teaching tools. Let's Go 5th Edition provides lively and motivating activities and offers plenty of opportunities for students to practice using the language they are learning. Workbook activities allow students to put what they have learned into practice. Online Practice motivates students to connect with English outside the classroom through interactive tasks and activities.


1. Let's Go: Level 5: Student Book - 5th Edition


2. Let's Go: Level 5: Workbook with Online Practice - 5th Edition",https://cdn1.fahasa.com/media/catalog/product/c/o/combo-9780194049757-9780194049726.jpg,"Ritsuko Nakata, Karen Frazier, Barbara Hoskins",Oxford University Press,2018,,Tiếng Anh,ELT: Learning Material & Coursework,https://www.fahasa.com/combo-let-s-go-level-5-student-book-workbook-with-online-practice-5th-edition-bo-2-cuon.html
Combo Complete IELTS B1 Student's Book + Workbook with answer (CD-ROM & Audio CD) (Bộ 2 Cuốn),"Combo Sách Complete IELTS B1 Student's Book + Workbook with answer (CD-ROM & Audio CD) (Bộ 2 Cuốn)


1. Complete IELTS B1 Workbook with answer & Audio CD


CD-ROM đính kèm chỉ tương thích Hệ điều hành Win XP và Vista


Complete IELTS combines the very best in contemporary classroom practice with stimulating topics aimed at young adults wanting to study at university. Complete IELTS Bands 4-5 prepares students for the IELTS test at B1 (foundation level). It is designed to introduce students to the critical thinking required for IELTS and provide strategies and skills to maximise their score. The information, practice and advice contained in the course ensure that they are fully prepared for all parts of the test. The Workbook with Answers with Audio CD features reading, writing and listening exercises with answer key for homework. It provides further practice in the Student's Book grammar and vocabulary and contains an Audio CD and recording scripts for the Workbook.


2. Complete IELTS B1 Student's Book with answer with CD-ROM


Complete IELTS combines the very best in contemporary classroom practice with stimulating topics aimed at young adults wanting to study at university. The Student's Pack is ideal for self-study. It consists of the Student's Book with Answers with CD-ROM *The Audio CDs (is not included in Student's Book) which contain all the material for the listening activities. The Student's Book with Answers contains 8 topic-based units with stimulating activities to ensure that students gain skills practice for each of the four papers of the IELTS exam. It also contains a complete IELTS practice test to allow students to familiarise themselves with the format of the exam. The CD-ROM contains additional skills, grammar, vocabulary and listening exercises.


1. Complete IELTS B1 Workbook with answer & Audio CD


2. Complete IELTS B1 Student's Book with answer with CD-ROM",https://cdn1.fahasa.com/media/catalog/product/c/o/combo-9781107645523-9781107665774.jpg,Mark Harrison,Cambridge University Press,2012,,Tiếng Anh,ELT Examination Practice Tests,https://www.fahasa.com/combo-complete-ielts-b1-student-s-book-workbook-with-answer-cd-rom-audio-cd-bo-2-cuon.html
Combo Essential Grammar in Use + English Grammar in Use + Advanced Grammar in Use (Bộ 3 cuốn),"Combo Sách Essential Grammar in Use + English Grammar in Use (Bộ 2 cuốn)


1. English Grammar in Use Book w Ans


The world's best-selling grammar series for learners of English. English Grammar in Use Fourth edition is an updated version of the world's best-selling grammar title. It has a fresh, appealing new design and clear layout, with revised and updated examples, but retains all the key features of clarity and accessibility that have made the book popular with millions of learners and teachers around the world. This 'with answers' version is ideal for self-study.


2. Essential Grammar in Use Book with Answers Fahasa Reprint Edition: A Self-Study Reference and Practice Book for Elementary Learners of English 


Essential Grammar in Use is a self-study reference and practice book for elementary-level learners (A1-B1), used by millions of people around the world. With clear examples, easy-to-follow exercises and answer key, the Fourth edition is perfect for independent study, covering all the areas of grammar that you will need at this level. The book has an easy-to-use format of two-page units with clear explanations of grammar points on the left-hand page, and practice exercises on the right. It also includes plenty of additional exercises and a Study Guide to help you find the grammar units you need to study.


3. Advanced Grammar in Use Book with Answers Fahasa Reprint Edition: A Self-Study Reference and Practice Book for Advanced Learners of English


The world's best-selling grammar series for learners of English. This third edition, with answers, is ideal for self-study. The book contains 100 units of grammar reference and practice materials It is ideal for learners preparing for the Cambridge Advanced, Proficiency or IELTS examinations, and is informed by the Cambridge International Corpus, which ensures the language is authentic and up-to-date.
1. Advanced Grammar in Use Book with Answers Fahasa Reprint Edition: A Self-Study Reference and Practice Book for Advanced Learners of English
2. English Grammar in Use Book w Ans
3. Essential Grammar in Use Book with Answers Fahasa Reprint Edition: A Self-Study Reference and Practice Book for Elementary Learners of English",https://cdn1.fahasa.com/media/catalog/product/c/o/combo-20102022001.jpg,Raymond Murphy,Cambridge University Press,2017,,Tiếng Anh,ELT Grammar & Vocabulary,https://www.fahasa.com/combo-essential-grammar-in-use-english-grammar-in-use-advanced-grammar-in-use-bo-3-cuon.html
Razzmatazz,"Razzmatazz


New York Times Bestseller


“Smart and funny and all sorts of raunchy in the best way.” — San Francisco Chronicle


Repeat New York Times bestselling author Christopher Moore returns to the mean streets of San Francisco in this outrageous follow-up to his madcap novel Noir.


San Francisco, 1947. Bartender Sammy “Two Toes” Tiffin and the rest of the Cookie’s Coffee Irregulars—a ragtag bunch of working mugs last seen in Noir—are on the hustle: they’re trying to open a driving school; shanghai an abusive Swedish stevedore; get Mable, the local madam, and her girls to a Christmas party at the State Hospital without alerting the overzealous head of the S.F.P.D. vice squad; all while Sammy’s girlfriend, Stilton (a.k.a. the Cheese), and her “Wendy the Welder” gal pals are using their wartime shipbuilding skills on a secret project that might be attracting the attention of some government Men in Black. And, oh yeah, someone is murdering the city’s drag kings and club owner Jimmy Vasco is sure she’s next on the list and wants Sammy to find the killer.


Meanwhile, Eddie “Moo Shoes” Shu has been summoned by his Uncle Ho to help save his opium den from Squid Kid Tang, a vicious gangster who is determined to retrieve a priceless relic: an ancient statue of the powerful Rain Dragon that Ho stole from one of the fighting tongs forty years earlier. And if Eddie blows it, he just might call down the wrath of that powerful magical creature on all of Fog City.


Strap yourselves in for a bit of the old razzmatazz, ladies and gentlemen. It’s Christopher Moore time.",https://cdn1.fahasa.com/media/catalog/product/9/7/9780062434128_1.jpg,Christopher Moore,HarperCollins Publishers,2022,400,Tiếng Anh,Crime,https://www.fahasa.com/razzmatazz.html
Combo Essential Grammar in Use + English Grammar in Use (Bộ 2 cuốn),"Combo Sách Essential Grammar in Use + English Grammar in Use (Bộ 2 cuốn)


1. English Grammar in Use Book w Ans


The world's best-selling grammar series for learners of English. English Grammar in Use Fourth edition is an updated version of the world's best-selling grammar title. It has a fresh, appealing new design and clear layout, with revised and updated examples, but retains all the key features of clarity and accessibility that have made the book popular with millions of learners and teachers around the world. This 'with answers' version is ideal for self-study.


2. Essential Grammar in Use Book with Answers Fahasa Reprint Edition: A Self-Study Reference and Practice Book for Elementary Learners of English 


Essential Grammar in Use is a self-study reference and practice book for elementary-level learners (A1-B1), used by millions of people around the world. With clear examples, easy-to-follow exercises and answer key, the Fourth edition is perfect for independent study, covering all the areas of grammar that you will need at this level. The book has an easy-to-use format of two-page units with clear explanations of grammar points on the left-hand page, and practice exercises on the right. It also includes plenty of additional exercises and a Study Guide to help you find the grammar units you need to study.
1. English Grammar in Use Book w Ans
2. Essential Grammar in Use Book with Answers Fahasa Reprint Edition: A Self-Study Reference and Practice Book for Elementary Learners of English",https://cdn1.fahasa.com/media/catalog/product/c/o/combo-9781108430494-9781108430425.jpg,Raymond Murphy,Cambridge University Press,2017,,Tiếng Anh,ELT Grammar & Vocabulary,https://www.fahasa.com/combo-essential-grammar-in-use-english-grammar-in-use-bo-2-cuon.html
