title,description,thumbnail,author,publisher,publishing_year,num_pages,language,categories,link
ハイキュー!! 2: 集英社リミックス - Haikyu!! 2 (Shueisha Jump Remix Comic),ハイキュー!! 2: 集英社リミックス - Haikyu!! 2 (Shueisha Jump Remix Comic),https://cdn1.fahasa.com/media/catalog/product/9/7/9784081151196.jpg,古舘 春一,Kinokuniya Book Stores,2022,,Tiếng Nhật,Manga Books,https://www.fahasa.com/2-haikyu-2-shueisha-jump-remix-comic.html
Boruto 18 - ボルト- Naruto Next Generations,"Boruto 18 - ボルト- Naruto Next Generations


コードとの激闘の末、奇跡の生還を果たしたボルト。木ノ葉の里では今後の対応に追われる…。そんな中、当のコードがシカマルとアマドの前に出現! シカマルはある対策を実行するが…!? 里に再び緊張が走る!!",https://cdn1.fahasa.com/media/catalog/product/9/7/9784088832470.jpg,"池本 幹雄, 岸本 斉史",Kinokuniya Book Stores,2022,176,Tiếng Nhật,Manga Books,https://www.fahasa.com/boruto-18-naruto-next-generations.html
桃源暗鬼 11 - Togen Anki 11,"桃源暗鬼 11 - Togen Anki 11


無陀野から課された雪山修業で全員でゴールを目指す四季たち。その結末は!?


その頃、「桃太郎殲滅すべし」という過激な思想を持つ野良の鬼集団”鬼國隊”の存在が明らかになる。


鬼國隊大将・等々力颯は、なんと四季と同じ「鬼神の子」で…!?


新世代ダークヒーロー鬼譚、波乱の新章突入!!",https://cdn1.fahasa.com/media/catalog/product/9/7/9784253280112.jpg,漆原侑来,Kinokuniya Book Stores,2022,187,Tiếng Nhật,Manga Books,https://www.fahasa.com/11-togen-anki-11.html
TVアニメ『SPY × FAMILY』公式ガイドブック Mission Report: 220409-0625,"TVアニメ『SPY × FAMILY』公式ガイドブック Mission Report: 220409-0625


敏腕諜報員<黄昏>ことロイド、人の心を読む超能力者のアーニャ、凄腕の殺し屋<いばら姫>ことヨル──それぞれが秘密を抱えた偽装家族フォージャー家。世界平和への難関任務に挑む中、家族が遭遇する事件とは!? TVアニメ第1話~第12話を徹底解説する公式ガイドブック!!


●大量の設定画・場面写真で主要キャラクター&各話を解説!
 ●グッズ用描き下ろしも充実!大ボリュームのカラーイラストギャラリー
 ●フォージャー家、イーデン校、街並みに水族館…美術設定で世界観に浸る!
 ●江口拓也・種崎敦美・早見沙織がこれまでを振り返る「フォージャー家鼎談」!
 ●吉野裕行・小野賢章・藤原夏海・加藤英美里 撮り下ろしインタビュー集!
 ●古橋一博監督メッセージほか、総作画監督・音響監督が制作現場を語る!
 ●主題歌担当Official髭男dism、星野源によるメッセージコメント!
 ●あのラジオの後日談!? 遠藤達哉・種崎敦美 撮り下ろし特別対談!


【Wとじ込み付録】
 ●アニメ/原作イラスト 両面ピンナップ
 ●原作 遠藤達哉先生描き下ろしポストカード",https://cdn1.fahasa.com/media/catalog/product/9/7/9784087925999.jpg,遠藤 達哉,Kinokuniya Book Stores,2022,164,Tiếng Nhật,Manga Books,https://www.fahasa.com/tv-spy-family-mission-report-220409-0625.html
ハイキュー!! 1: 集英社リミックス - Haikyu!! 1 (Shueisha Jump Remix Comic),ハイキュー!! 1: 集英社リミックス - Haikyu!! 1 (Shueisha Jump Remix Comic),https://cdn1.fahasa.com/media/catalog/product/9/7/9784081151189.jpg,古舘 春一,Kinokuniya Book Stores,2022,,Tiếng Nhật,Manga Books,https://www.fahasa.com/1-haikyu-1-shueisha-jump-remix-comic.html
れっつ! ハイキュー!? 10 - Let's Haikyu!? 10,"れっつ! ハイキュー!? 10 - Let's Haikyu!? 10


春高準々決勝・烏野対鴎台! 白熱する試合の最中、日向が発熱し、暴走が始まり!? そして春高から数年後、日向はビーチ忍法を習得するため単身でブラジルに渡るが…!? 大人気バレー漫画公式スピンオフ第10巻!!",https://cdn1.fahasa.com/media/catalog/product/9/7/9784088832418.jpg,レツ,Kinokuniya Book Stores,2022,128,Tiếng Nhật,Manga Books,https://www.fahasa.com/10-let-s-haikyu-10.html
怪物事変 17 - Kemono Jihen 17,"怪物事変 17 - Kemono Jihen 17


京狐捜索任務のリーダーを決めるべく怪物とゲンジで手合わせを行う一行。激しい戦いも3戦が終了しましたところで、1対2と負け越す夏羽たちでございましたが、次に夏羽が相手する坂田という若者。なにやら檻に入れられた花楓について物申したそうな様子…。さらに気になりますのは、大将戦を前にして隠神に姉上を殺されたと恨む頼電は、はたして今、どのような心情なのでしょう…。",https://cdn1.fahasa.com/media/catalog/product/9/7/9784088832067.jpg,藍本 松,Kinokuniya Book Stores,2022,216,Tiếng Nhật,Manga Books,https://www.fahasa.com/17-kemono-jihen-17.html
PPPPPP 4,"PPPPPP 4


経験値を上げて、それらを武器に音上ミーミンに勝とうとするラッキー。コンクール本選会場に赴くが、そこにはソラチカの姿が…!? 一方で、山中メロリは自分の世界を守るために…!? ピアノを巡る奇跡の物語、第4巻!",https://cdn1.fahasa.com/media/catalog/product/9/7/9784088832258.jpg,マポロ3号,Kinokuniya Book Stores,2022,200,Tiếng Nhật,Manga Books,https://www.fahasa.com/pppppp-4.html
Edens Zero 22,"Edens Zero 22


全世界待望! 6言語(英・仏・ポルトガル・中国・韓国・タイ)同時配信中!!

真島ヒロ最新作!!!


ラビリアと星系六祈将ホーリィをエデンズ ゼロに乗せ、始まった惑星レンダード攻略戦。

だが、突入した先には銀河六魔将ゴッド・アクネラ率いるドラゴンの群れが待ち構えていた! その苛烈な防衛圏を辛くも突破し、地上に降下したエルシーは、ジギーと直接剣を交えるも、卑劣な凶刃に倒れてしまう。他方、同じく地上に降りたシキたち4人の行く手には、魔王四黒星が立ちはだかる……。

星咬作戦、その首尾は如何に!?",https://cdn1.fahasa.com/media/catalog/product/9/7/9784065286586.jpg,真島 ヒロ,Kinokuniya Book Stores,2022,192,Tiếng Nhật,Manga Books,https://www.fahasa.com/edens-zero-22.html
東京卍リベンジャーズ フルカラー短編集 1 So Young - Tokyo Revengers Full Color Short Stories 1 So Young,"東京卍リベンジャーズ フルカラー短編集 1 So Young - Tokyo Revengers Full Color Short Stories 1 So Young


永遠に色褪せない! これぞ“青春天然色”!! 『東京卍リベンジャーズ』初のフルカラー短編集がついに登場! マイキーとドラケン、場地と千冬……東卍メンバー達のせつなくも儚い日々を描いた珠玉の短編を超美麗カラーで彩色した愛蔵版!「Zero」、「In those days」、「One for all」、「Man-crush」、「Twin to dragon」、「You're not my type」の6本を収録!!",https://cdn1.fahasa.com/media/catalog/product/9/7/9784065288481.jpg,和久井 健,Kinokuniya Book Stores,2022,128,Tiếng Nhật,Manga Books,https://www.fahasa.com/tokyo-revengers-furu-kara-tanpen-1.html
ハイキュー部!! 8 - Haikyu-bu!! 8,"ハイキュー部!! 8 - Haikyu Club!! 8


『ハイキュー!!』のキャラクターが大騒ぎ! 青葉城西はリコールによる主将選挙が勃発!? ビッグフットに間違われた百沢を捜す白鳥沢は雪山で遭難し…。大人気『ハイキュー!!』のスピンオフ部活動コメディ混沌の第8巻。",https://cdn1.fahasa.com/media/catalog/product/9/7/9784088832302.jpg,宮島 京平,Kinokuniya Book Stores,2022,200,Tiếng Nhật,Manga Books,https://www.fahasa.com/8-haikyu-club-8.html
